,trial,model,pref,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,num_leaves,learning_rate,reg_lambda,reg_alpha,C,penalty,class_weight,train_y,train_auc,train_acc,train_f1,train_positive,train_meanscore,valid_y,valid_auc,valid_acc,valid_f1,valid_positive,valid_meanscore,test_y,test_auc,test_acc,test_f1,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
0,0,dt,宮城県,,11,,,,,,,,,,,0.2953776775648252,0.9686089906700592,0.9549041713641488,0.9210526315789472,0.275836151822623,0.2953776775648252,0.0307226308957161,0.4893658827967807,0.680657723929035,0.0763454317897371,0.3150151449588922,0.3206254170573846,0.0699445983379501,0.5007242541082104,0.868836565096953,0.081474296799224,0.0728531855955678,0.1192060230978102,0.9422308484572294,0.0337147069215809,0.0704091216446533
1,1,dt,宮城県,,10,,,,,,,,,,,0.2953776775648252,0.9673997455470738,0.9034197670048854,0.8476585655008891,0.3385945133408493,0.2953776775648252,0.0307226308957161,0.5477617659079477,0.6709216789268715,0.0714285714285714,0.3236694071830376,0.2865736301863064,0.0699445983379501,0.5032772793288264,0.899584487534626,0.0669240669240669,0.0376731301939058,0.0713758970398745,0.9160512934734082,0.0364219944618377,0.0719253587904127
2,2,dt,宮城県,,19,,,,,,,,,,,0.2953776775648252,0.9983819338422392,0.9750093949642992,0.9588362735995049,0.3117249154453213,0.2953776775648252,0.0307226308957161,0.547948629275654,0.7048896581566422,0.0733695652173913,0.2877542189528342,0.2853540134141064,0.0699445983379501,0.4877019824097078,0.8745152354570637,0.0659793814432989,0.0644044321329639,0.0786184210526315,0.9953086296208722,0.0345318060116378,0.0696043735926088
3,3,dt,宮城県,,9,,,,,,,,,,,0.2953776775648252,0.9543093299406278,0.887260428410372,0.8205741626794258,0.3329575347613679,0.2953776775648252,0.0307226308957161,0.5431349817655936,0.6998052790999567,0.0691043274069104,0.2917568152315015,0.293413079366598,0.0699445983379501,0.5234720553216899,0.9024930747922436,0.0712401055408971,0.0350415512465374,0.0776981638418165,0.8867955848224944,0.0361219398119501,0.0747937550997979
4,4,dt,宮城県,,3,,,,,,,,,,,0.2953776775648252,0.8177156064461407,0.7842916196918451,0.5677710843373494,0.2036828260052612,0.2953776775648252,0.0307226308957161,0.5275321852992958,0.969277369104284,0.0,0.0,0.3183082133672631,0.0699445983379501,0.4884194540079474,0.9300554016620498,0.0,0.0,0.1099309885304672,0.5945300285778814,0.0325953466298716,0.0691297940595377
5,5,dt,宮城県,,15,,,,,,,,,,,0.29537767756482525,0.9787151823579304,0.966553927095077,0.9425435765009683,0.28673431040962044,0.29537767756482525,0.03072263089571614,0.5325511663732394,0.6880138468195587,0.07445442875481387,0.3063608827347469,0.3049280963178689,0.06994459833795014,0.5055115265808039,0.871606648199446,0.07021063189568706,0.06814404432132964,0.11297968485234054,0.9493317602300474,0.033986386620356634,0.07111808285998086
6,6,dt,宮城県,,5,,,,,,,,,,,0.29537767756482525,0.8637197625106021,0.8286358511837655,0.7169459962756052,0.3100338218714769,0.29537767756482525,0.03072263089571614,0.6047362298792756,0.553331890956296,0.08508752492798582,0.4574859368238858,0.3600292297360923,0.06994459833795014,0.517745995001585,0.9229916897506926,0.010676156583629894,0.007894736842105263,0.09480786229745827,0.6891823833485956,0.04235319877071021,0.07331418570165674
7,7,dt,宮城県,,20,,,,,,,,,,,0.29537767756482525,0.9999789652247667,0.9983089064261556,0.9971328448550494,0.2944381811349117,0.29537767756482525,0.03072263089571614,0.5444510814889336,0.6489614885331025,0.07046691492409052,0.3469277369104284,0.3469277369104284,0.06994459833795014,0.5194186209387879,0.8469529085872576,0.11244979919678715,0.10249307479224377,0.10249307479224377,0.9999147304133634,0.034027593515167556,0.0733614295022375
8,8,dt,宮城県,,4,,,,,,,,,,,0.29537767756482525,0.8365240882103477,0.8228109733183014,0.6970767748152907,0.28955279969936115,0.29537767756482525,0.03072263089571614,0.6611766300930584,0.5286672436174816,0.09210252135861638,0.48842492427520556,0.34933297289192244,0.06994459833795014,0.49221412089086797,0.9048476454293629,0.04184100418410042,0.029362880886426593,0.10742666652645466,0.6527607376713025,0.047278372367842936,0.07048979726407584
9,9,dt,宮城県,,7,,,,,,,,,,,0.29537767756482525,0.9039486005089059,0.880683953400977,0.8023653906006847,0.3083427282976325,0.29537767756482525,0.03072263089571614,0.5515984579351108,0.6104500216356555,0.08534417068834138,0.39517524881003896,0.33455496017283165,0.06994459833795014,0.49506911525106345,0.9016620498614959,0.030054644808743168,0.0314404432132964,0.11628575524440038,0.7932983066338842,0.038110059326331776,0.06911784406191304
